数据期,行业代码,门类代码,门类内容,大类代码,大类内容,中类代码,中类内容,小类代码,小类内容,经度,维度,注册资本(人民币元),企业经营日期,企业登记设立日期,企业缴纳社保人员数
2015,K7010,K,房地产业,70,房地产业,701,房地产开发经营,7010,房地产开发经营,113.857559,22.581071,500000,2013/12/1,2012/7/5,59
2015,F5132,F,批发和零售业,51,批发业,513,纺织、服装及家庭用品批发,5132,服装批发,113.844955,22.715052,8175400,2012/11/1,2012/9/6,285
2015,F5261,F,批发和零售业,52,零售业,526,汽车、摩托车、零配件和燃料及其他动力销售,5261,汽车新车零售,113.857559,22.581071,25000000,2013/4/1,2012/7/27,178
2015,C2231,C,制造业,22,造纸和纸制品业,223,纸制品制造,2231,纸和纸板容器制造,113.856368,22.736860,4000000,2012/12/1,2012/8/22,28
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.803833,22.760572,8000000,2014/1/1,2012/8/2,31
2015,F5179,F,批发和零售业,51,批发业,517,机械设备、五金产品及电子产品批发,5179,其他机械设备及电子产品批发,113.800111,22.719947,3000000,2013/7/1,2012/8/24,24
2015,F5124,F,批发和零售业,51,批发业,512,食品、饮料及烟草制品批发,5124,肉、禽、蛋、奶及水产品批发,113.861203,22.569588,5000000,2015/12/1,2012/8/20,5
2015,C3913,C,制造业,39,计算机、通信和其他电子设备制造业,391,计算机制造,3913,计算机外围设备制造,113.811334,22.717205,190185000,2013/1/1,2012/9/5,2608
2015,H6110,H,住宿和餐饮业,61,住宿业,611,旅游饭店,6110,旅游饭店,113.85952,22.76546,10000000,2012/9/1,2012/8/16,410
2015,C3311,C,制造业,33,金属制品业,331,结构性金属制品制造,3311,金属结构制造,113.838861,22.779619,1901850,2013/1/1,2012/9/11,127
2015,F5164,F,批发和零售业,51,批发业,516,矿产品、建材及化工产品批发,5164,金属及金属矿批发,113.879417,22.548783,10000000,2012/11/1,2012/8/16,5
2015,C3569,C,制造业,35,专用设备制造业,356,电子和电工机械专用设备制造,3569,其他电子专用设备制造,113.870404,22.603592,10427392,2006/3/1,2012/10/22,216
2015,H6210,H,住宿和餐饮业,62,餐饮业,621,正餐服务,6210,正餐服务,,,10000000,2013/6/1,2012/8/27,310
2015,F5146,F,批发和零售业,51,批发业,514,文化、体育用品及器材批发,5146,首饰、工艺品及收藏品批发,113.895858,22.568283,8000000,2014/8/1,2012/9/7,6
2015,C2929,C,制造业,29,橡胶和塑料制品业,292,塑料制品业,2929,塑料零件及其他塑料制品制造,113.786855,22.709114,1000000,2005/12/1,2004/4/21,351
2015,C4030,C,制造业,40,仪器仪表制造业,403,钟表与计时仪器制造,4030,钟表与计时仪器制造,113.872770,22.594116,121836000,2006/3/1,2012/11/6,1526
2015,C3952,C,制造业,39,计算机、通信和其他电子设备制造业,395,非专业视听设备制造,3952,音响设备制造,113.806101,22.752507,50000000,2013/1/1,2012/10/31,789
2015,H6129,H,住宿和餐饮业,61,住宿业,612,一般旅馆,6129,其他一般旅馆,113.829847,22.729303,1000000,2013/1/1,2012/9/28,40
2015,E4790,E,建筑业,47,房屋建筑业,479,其他房屋建筑业,4790,其他房屋建筑业,113.887969,22.570350,6000000,2013/4/1,2012/10/8,65
2015,H6210,H,住宿和餐饮业,62,餐饮业,621,正餐服务,6210,正餐服务,113.907669,22.580957,500000,2012/12/1,2012/11/12,55
2015,I6550,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,655,信息处理和存储支持服务,6550,信息处理和存储支持服务,113.860547,22.571062,37402527,2013/5/1,2012/11/27,97
2015,L7259,L,租赁和商务服务业,72,商务服务业,725,广告业,7259,其他广告服务,113.908075,22.567371,100000000,2013/1/1,2012/11/6,247
2015,R8760,R,文化、体育和娱乐业,87,广播、电视、电影和录音制作业,876,电影放映,8760,电影放映,113.905998,22.559656,5000000,2013/1/1,2012/12/4,73
2015,H6210,H,住宿和餐饮业,62,餐饮业,621,正餐服务,6210,正餐服务,113.906350,22.560452,100000,2013/5/1,2012/12/21,320
2015,I6599,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,659,其他信息技术服务业,6599,其他未列明信息技术服务业,113.885211,22.575006,50000000,2013/3/1,2013/1/29,74
2015,C2110,C,制造业,21,家具制造业,211,木质家具制造,2110,木质家具制造,113.833214,22.749483,10000000,2013/8/1,2013/2/22,90
2015,L7219,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7219,其他组织管理服务,113.891772,22.580618,12000000,2013/7/1,2013/2/6,234
2015,F5212,F,批发和零售业,52,零售业,521,综合零售,5212,超级市场零售,113.831810,22.763134,10000000,2013/7/1,2013/3/5,320
2015,F5261,F,批发和零售业,52,零售业,526,汽车、摩托车、零配件和燃料及其他动力销售,5261,汽车新车零售,113.853697,22.561181,20000000,2013/4/1,2013/1/30,132
2015,F5179,F,批发和零售业,51,批发业,517,机械设备、五金产品及电子产品批发,5179,其他机械设备及电子产品批发,113.866172,22.568071,10000000,2013/6/1,2013/2/4,195
2015,K7010,K,房地产业,70,房地产业,701,房地产开发经营,7010,房地产开发经营,113.865810,22.560864,100000000,2014/2/1,2013/3/14,54
2015,H6210,H,住宿和餐饮业,62,餐饮业,621,正餐服务,6210,正餐服务,113.850571,22.601171,150000,2014/1/1,2013/2/1,28
2015,G5431,G,交通运输、仓储和邮政业,54,道路运输业,543,道路货物运输,5431,普通货物道路运输,113.937670,22.670847,1000000,2015/3/1,2013/5/6,50
2015,F5164,F,批发和零售业,51,批发业,516,矿产品、建材及化工产品批发,5164,金属及金属矿批发,113.866284,22.567525,5000000,2013/11/1,2013/6/7,25
2015,L7219,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7219,其他组织管理服务,113.875200,22.580782,100000000,2013/8/1,2013/6/7,80
2015,F5179,F,批发和零售业,51,批发业,517,机械设备、五金产品及电子产品批发,5179,其他机械设备及电子产品批发,113.861427,22.651749,10000000,2013/11/1,2013/6/27,31
